S.No,CSP,E,P,MicroSA,MesoSA,ScanRate
1,0,0,0,0,0,0
2,0,0,0,0,0,5
3,0,0,0,0,0,10
4,188.58,6.548,0.118,1990,879,5
5,232.27,8.065,0.145,636,442,5
6,222.77,7.735,0.278,636,442,10
7,202.29,7.024,0.506,636,442,20
8,185.15,6.429,1.157,636,442,50
9,155.41,5.396,1.943,636,442,100
10,185.11,6.428,0.116,713,290,5
11,170.51,5.921,0.213,457,126,10
12,101.47,3.523,1.268,457,126,100
13,160.84,5.585,0.201,429,188,10
14,115.52,4.011,1.444,429,188,100
15,175.29,6.086,0.219,481,193,10
16,141.55,4.915,1.769,481,193,100
17,253.9,8.816,0.317,1118,504,10
18,203.05,7.05,2.538,1118,504,100
19,224.15,7.783,0.056,735,1200,2
20,202.99,7.048,0.127,735,1200,5
21,189.89,6.593,0.237,735,1200,10
22,176.24,6.119,0.441,735,1200,20
23,144.14,5.005,0.901,735,1200,50
24,113.6,0.394,0.142,735,1200,100
25,241.54,8.387,0.151,1506,269,5
26,212.44,7.376,0.266,1506,269,10
27,207.12,7.192,0.518,1506,269,20
28,197.94,6.873,1.237,1506,269,50
29,198,6.875,2.475,1506,269,100
30,182.58,6.34,0.114,437,10,5
31,161.7,5.615,1.011,437,10,50
32,158.97,5.52,1.987,437,10,100
33,221.86,7.703,0.139,501,25,5
34,191.76,6.658,1.198,501,25,50
35,182.59,6.34,2.282,501,25,100
36,159.09,5.524,0.099,579,83,5
37,139.68,4.85,0.873,579,83,50
38,136.66,4.745,1.708,579,83,100
39,116.85,4.057,0.029,0,24,2
40,79.11,2.747,0.049,0,24,5
41,68.03,2.362,0.085,0,24,10
42,61.2,2.125,0.153,0,24,20
43,53.48,1.857,0.334,0,24,50
44,46.58,1.617,0.582,0,24,100
45,41.3,1.434,1.033,0,24,200
46,31.42,1.091,1.964,0,24,500
47,257.94,8.956,0.064,115,1158,2
48,244.31,8.483,0.153,115,1158,5
49,238.34,8.276,0.298,115,1158,10
50,232.37,8.068,0.581,115,1158,20
51,224.65,7.8,1.404,115,1158,50
52,216.9,7.531,2.711,115,1158,100
53,207.36,7.2,5.184,115,1158,200
54,187.26,6.502,11.704,115,1158,500
55,179.6,6.236,0.022,120,216,1
56,172.4,5.986,0.043,120,216,2
57,166.3,5.774,0.104,120,216,5
58,155,5.382,0.194,120,216,10
59,211.6,7.347,0.026,107,315,1
60,201.6,7,0.05,107,315,2
61,184.2,6.396,0.115,107,315,5
62,172.6,5.993,0.216,107,315,10
63,277,9.618,0.035,153,553,1
64,259.6,9.014,0.065,153,553,2
65,229.5,7.969,0.143,153,553,5
66,198.1,6.878,0.248,153,553,10
67,280.1,9.726,0.035,200,900,1
68,273.5,9.497,0.068,200,900,2
69,265.2,9.208,0.166,200,900,5
70,250.1,8.684,0.313,200,900,10
